timestamps,aAcc,aJerk,aVelocity,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction
0.0,0.0,-0.436828418424073,0.0,0.0,up,down,down,down
0.016000000000000014,0.0085403926535364,-0.533774540846021,0.0014260888700488995,7.08053026817566e-05,up,down,down,down
0.03100000000000014,0.0176921928413432,-0.6101200125204491,0.0028957386320298995,0.00015890331368625658,up,down,down,down
0.04700000000000015,0.026686388560792196,-0.5621372324655645,0.0046085330120676,0.0002783340785604566,up,down,down,down
0.06199999999999983,0.03624153609439419,-0.637009835573479,0.0063533978177508,0.0004162328645229566,up,down,down,down
0.07799999999999985,0.04541823351836709,-0.5735435889983037,0.008364441703473599,0.0005933721724141566,up,down,down,down
0.09399999999999986,0.0565302707477358,-0.6945023268355437,0.010537795466423099,0.0008039866614947567,up,down,down,down
0.10899999999999999,0.06742937728189351,-0.7266071022771746,0.012740398197414701,0.0010342574187124564,up,down,down,down
0.125,0.07857220248928169,-0.6964265754617609,0.015266176564404701,0.0013177066085284564,up,down,down,down
0.14100000000000001,0.0912696932469466,-0.7935931723540561,0.0179826774591152,0.0016430940324380565,up,down,down,down
0.15600000000000014,0.10369674549939849,-0.8284701501634523,0.0207178311204822,0.0019890321515238563,up,down,down,down
0.17200000000000015,0.11641497872387781,-0.7948895765299551,0.023836490643089,0.0024048633173538564,up,down,down,down
0.18699999999999983,0.12932488319129481,-0.8606602978278198,0.0269524449782221,0.0028414646392525564,up,down,down,down
0.20299999999999985,0.14196327798003777,-0.7898996742964342,0.030480515996413403,0.0033603249187710567,up,down,down,down
0.21899999999999986,0.15452260196367368,-0.7849577489772435,0.0342101687647838,0.003937246988582157,up,down,down,down
0.23399999999999999,0.16696236052168706,-0.8293172372008851,0.0378942113541934,0.004533714144213357,up,down,down,down
0.25,0.18180439955488836,-0.9276274395750842,0.0420421111636266,0.005232601316077357,up,down,down,down
0.266,0.19640476000368606,-0.912522528049852,0.0464255501689159,0.005999739198459057,up,down,down,down
0.2809999999999997,0.20968074755233707,-0.8850658365767524,0.0507440968463553,0.006784195855812457,up,down,down,down
0.2969999999999997,0.22348141110378356,-0.8625414719654049,0.0555671598444249,0.0076940825010601566,up,down,down,down
0.3120000000000003,0.2369767275658728,-0.8996877641392482,0.0602935012552169,0.008618721764046357,up,down,down,down
0.3280000000000003,0.24915185162437048,-0.7609452536561083,0.0655402956175595,0.009684788730750056,up,down,down,down
0.3440000000000003,0.2614385605299159,-0.7679193065965866,0.0709827846436145,0.010836369964560857,up,down,down,down
0.359,0.2734564255616761,-0.8011910021173615,0.0762674024100707,0.011996430672202357,up,down,down,down
0.375,0.2866977518124632,-0.8275828906741937,0.0821064015578844,0.013322817695667356,up,down,down,down
0.391,0.3005894104898062,-0.868228667333936,0.0881624645851232,0.014744365216532955,up,down,down,down
0.4059999999999997,0.3137502548626668,-0.8773896248573907,0.094042917446036,0.016166589886505458,up,down,down,down
0.4219999999999997,0.3266530434635105,-0.806424287552731,0.1005239095614661,0.01778252109428686,up,down,down,down
0.4370000000000003,0.33930283620943597,-0.8433195163950001,0.10679148402978281,0.01939307085096016,up,down,down,down
0.4530000000000003,0.3523872722706898,-0.817777253828366,0.1136827706264444,0.02121626147993146,up,down,down,down
0.4690000000000003,0.36443534931283317,-0.7530048151339612,0.1207751173279333,0.023151321175287856,up,down,down,down
0.484,0.3762364482503014,-0.7867399291645614,0.127603061180426,0.025069841818839457,up,down,down,down
0.5,0.3891420400241153,-0.8065994858633678,0.135083854815442,0.027230733738527756,up,down,down,down
0.516,0.4017863430976015,-0.7902689420928859,0.1427690476092364,0.02951295354964666,up,down,down,down
0.5309999999999997,0.4148306269285307,-0.8696189220619692,0.15016658025520158,0.03176565506336875,up,down,down,down
0.5469999999999997,0.4276191404882646,-0.7992820974833663,0.1582639441233566,0.034292495850118655,up,down,down,down
0.5620000000000003,0.43890636360174545,-0.7524815408986947,0.16603579077480138,0.036780428166593854,up,down,down,down
0.5780000000000003,0.45050121756577793,-0.7246783727520294,0.17450881715296218,0.03956418162173735,up,down,down,down
0.5940000000000003,0.4618992697603482,-0.7123782621606394,0.1831657867803919,0.042484975044925655,up,down,down,down
0.609,0.47290475484343736,-0.7336990055392946,0.1914497223356895,0.04535027566803505,up,down,down,down
0.625,0.48356302193617223,-0.6661416932959291,0.20045923027874699,0.04854494388067195,up,down,down,down
0.641,0.4939975334133387,-0.6521569673229027,0.2096374804503638,0.05188511415822635,up,down,down,down
0.6559999999999997,0.5041073619992887,-0.6739885723966809,0.21839617253672758,0.055151050860368256,up,down,down,down
0.6719999999999997,0.5137882159428743,-0.6050533714740952,0.2278971028890856,0.05878079365549625,up,down,down,down
0.6870000000000003,0.5233555493033962,-0.637822224034773,0.23694858649920228,0.062322820630647355,up,down,down,down
0.7030000000000003,0.5323284225226194,-0.5608045762014453,0.2467518240026311,0.06625182050638355,up,down,down,down
0.7190000000000003,0.541099024562934,-0.5481626275196656,0.2566970093081362,0.07033880776459106,up,down,down,down
0.734,0.5501070923067478,-0.6005378495875993,0.266153960555428,0.07431587434330655,up,down,down,down
0.75,0.5589755493870144,-0.5542785675166635,0.2763843874177988,0.07871557771881385,up,down,down,down
0.766,0.5677089145694599,-0.5458353239028431,0.2867556288582712,0.08328009444074386,up,down,down,down
0.7809999999999997,0.5762903597809165,-0.5720963474304482,0.2966085287866682,0.08771100992781966,up,down,down,down
0.7969999999999997,0.5847286276101419,-0.5273917393265877,0.3072544464146174,0.09260131032115135,up,down,down,down
0.8120000000000003,0.5941374523661517,-0.6272549837339624,0.3173688473852093,0.09734166932938916,up,down,down,down
0.8280000000000003,0.6017494123667612,-0.4757475000380924,0.32829370803189334,0.10256636636444735,up,down,down,down
0.8440000000000003,0.609344060031095,-0.4746654790208633,0.3393402215398968,0.10796683439274316,up,down,down,down
0.859,0.6167897930353431,-0.496382200283218,0.3498091308086642,0.11319113884009606,up,down,down,down
0.875,0.6244589325445987,-0.4793212193284764,0.3610968863421244,0.11893778356902386,up,down,down,down
0.891,0.6324527625438688,-0.499614374954382,0.3725099456316528,0.12486603481653555,up,down,down,down
0.9059999999999997,0.6402725573005218,-0.5213196504435413,0.3833282909012549,0.13059050589527108,up,down,down,down
0.9219999999999997,0.6485173290272127,-0.5152982329181817,0.3949963757206974,0.13687649981996816,up,down,down,down
0.9370000000000003,0.6571627579015243,-0.5763619249540871,0.4060618817434327,0.14294012105568818,up,down,down,down
0.9530000000000003,0.6656335038012672,-0.5294216187339269,0.4180020175658758,0.14959202884188416,up,down,down,down
0.9690000000000003,0.672750413734205,-0.4448068708086113,0.43006685463498023,0.15643597641121246,up,down,down,down
0.984,0.6783055502501228,-0.3703424343945332,0.4414726797356318,0.16302820722373076,up,down,down,down
1.0,0.6837012654406341,-0.3372321994069557,0.4537264999899785,0.17024919725325707,up,down,down,down
1.016,0.6897629392092296,-0.3788546105372156,0.4660719793559981,0.17766698167974637,up,down,down,down
1.0309999999999997,0.6953801595838237,-0.3744813583062821,0.4777334579677151,0.18480120676441286,up,down,down,down
1.0469999999999997,0.7027849524389397,-0.4627995534447478,0.4902765445927179,0.19260468337661776,up,down,down,down
