timestamps,aAcc,aJerk,aHeight,aVelocity
57.83,-0.0470202101298156,-0.2439280038625831,-0.0011387166582749,2.9926759917333827
57.845,-0.050740556285266,-0.248023077030022,-0.0018719224063881,2.992653411940398
57.864,-0.0544094803300172,-0.1931012655132359,-0.0028708477542332,2.992608355623872
57.879,-0.0583897922081853,-0.2653541252111934,-0.0037168422982697,2.992558947948478
57.894,-0.062745371325164,-0.2903719411319025,-0.0046253560247699,2.9924963814610552
57.909,-0.0671553221997118,-0.2939967249698471,-0.0055996112262065,2.992419694206673
57.929,-0.0715577472892459,-0.2201212544766673,-0.0069867419210963,2.9922938306752
57.944,-0.0762022208900816,-0.3096315733890384,-0.0080949416824413,2.992180718048173
57.959,-0.0812488280162817,-0.336440475079993,-0.0092758245492391,2.9920504373014354
57.973,-0.08609477046212,-0.3461387461314074,-0.0104472297385875,2.9919123759214212
57.993,-0.0911641819012913,-0.2534705719585298,-0.0122198192622219,2.991685705431413
58.008,-0.0962858046904706,-0.341441519278605,-0.0136256941616602,2.9914918640807335
58.023,-0.1014405328542888,-0.3436485442545359,-0.0151086416932459,2.991276356561822
58.038,-0.1069054464377821,-0.3643275722330397,-0.0166712365379358,2.991038007475088
58.058,-0.1127601084429539,-0.2927331002585451,-0.0188678920867435,2.9906826161888413
58.073,-0.1186882440200776,-0.3952090384748972,-0.0206037547302163,2.990386578837714
58.088,-0.1248438447534798,-0.4103733822268022,-0.0224302453960181,2.9900638238367674
58.103,-0.1307292519688907,-0.3923604810273761,-0.0243470436214359,2.9897129941691367
58.122,-0.1367101290768797,-0.314783005683659,-0.0268877177413705,2.9892262639361897
58.137,-0.1427410205452233,-0.4020594312228893,-0.0289836013635363,2.988807229042903
58.152,-0.1491857665604516,-0.4296497343485421,-0.031173052266829,2.988356054140675
58.167,-0.1551213234923754,-0.3957037954615659,-0.0334553554422253,2.987871341082857
58.187,-0.1614230660757751,-0.3150871291700512,-0.0366207993379061,2.9871705795350567
58.202,-0.1678127039106751,-0.4259758556599829,-0.0390900676128046,2.986602748032926
58.217,-0.1745709115874696,-0.4505471784529475,-0.0416579447290408,2.985997137940362
58.232,-0.1813115377863301,-0.449375079924017,-0.0443270630993444,2.985352250381649
58.252,-0.1882052394765807,-0.3446850845124765,-0.0480222308719741,2.9844287574419357
58.273,-0.1951387182485078,-0.3301656558060384,-0.0520473424280876,2.983378026922285
58.281,-0.2019350128393569,-0.8495368238566049,-0.0536356373524382,2.9829552950031633
58.296,-0.2089746716537881,-0.4693105876287321,-0.0567174599861369,2.9821276467731237
58.316,-0.2159485710456987,-0.3486949695954765,-0.0609666924131325,2.980950805249131
58.331,-0.2232004979752897,-0.483461795306047,-0.06426031043079,2.9800116027278016
58.346,-0.2306114224172688,-0.494061629465489,-0.0676638998337327,2.979022171150818
58.361,-0.2380414735046514,-0.4953367391588208,-0.0711787965531473,2.977980850927916
58.381,-0.2454071632464245,-0.3682844870885972,-0.0760132829206587,2.976508930133178
58.395,-0.2528661198010606,-0.5327826110453276,-0.0795011959019919,2.975420328781419
58.41,-0.259826768971557,-0.4640432780332905,-0.0833463925677848,2.9741989718678967
58.425,-0.2664075622485793,-0.4387195518014716,-0.087293150051936,2.9729191752982485
58.445,-0.2732410138136583,-0.3416725782538953,-0.0926896358125592,2.971119347439603
58.46,-0.2800144333664622,-0.4515613035202477,-0.0968390516664103,2.9696978822835107
58.475,-0.2866240010688639,-0.4406378468267579,-0.1010888399246754,2.9682134230965773
58.49,-0.2927987686208766,-0.4116511701341669,-0.1054345106973486,2.966664497966912
58.51,-0.2984873243827675,-0.2844277880945999,-0.1113473716273839,2.964496679143665
58.525,-0.3047964970196624,-0.4206115091263107,-0.1158720002879023,2.9627925338543
58.545,-0.3108604884715582,-0.3031995725947448,-0.1220285701428155,2.960413528149993
58.554,-0.3166567569479213,-0.6440298307069815,-0.1248523977472033,2.959302563794487
58.574,-0.3221877688839321,-0.2765505968005949,-0.1312408430055205,2.956741631386961
58.589,-0.3277287890190408,-0.3694013423405666,-0.136115217189793,2.954736460935496
58.604,-0.3333079607036247,-0.3719447789722448,-0.1410729928127132,2.952657549360477
58.619,-0.3393080970198898,-0.4000090877509962,-0.1461176132456402,2.950503619815039
58.644,-0.3448453523843415,-0.221490214578081,-0.1546695313631935,2.946743780507429
58.653,-0.3492803772454298,-0.4927805401208998,-0.1577930971465279,2.9453376986791353
58.668,-0.3529320028005056,-0.2434417036717114,-0.1630596899968732,2.94293130277556
58.683,-0.3577123962680595,-0.3186928978369131,-0.1683895229898883,2.940445433678159
58.703,-0.3630831899668276,-0.268539684938365,-0.1755974788522391,2.937005563659737
58.719,-0.3683097095031336,-0.3266574710191565,-0.1814486220479988,2.9341491948525356
58.733,-0.3728669425210711,-0.3255166441384931,-0.1866368586121673,2.931572596487915
58.748,-0.3772085403149514,-0.289439852925344,-0.1922624247334383,2.928730851862823
58.768,-0.3813220018301138,-0.2056730757580849,-0.199847730154891,2.9248097503139387
58.783,-0.38539754658097,-0.2717029833904065,-0.205598126767975,2.921768906387017
58.798,-0.3901772364946829,-0.3186459942475155,-0.2114149376410432,2.9186413084039495
58.812,-0.3949822236756919,-0.3432133700721723,-0.2169110538622348,2.915643026463427
58.832,-0.3994376796907932,-0.2227728007550318,-0.2248552528959017,2.911225363395846
58.847,-0.4032565957118734,-0.2545944014053369,-0.2308754599614226,2.9078073830494158
58.862,-0.4074726584453909,-0.2810708489011553,-0.2369559293676029,2.904298647629448
58.877,-0.4119129347052208,-0.2960184173219821,-0.2431013213162335,2.9006982182493193
58.897,-0.4163770914167912,-0.2232078355785649,-0.2513842215774529,2.8957533628203835
58.918,-0.4203747514518507,-0.1903647635742558,-0.260170115927575,2.890382042276581
58.927,-0.4241400225023426,-0.4183634500546339,-0.2639704324103694,2.88802340980906
58.941,-0.4273889989104855,-0.2320697434387321,-0.2699311355602611,2.884286098833265
58.961,-0.43017426118233,-0.1392631135922528,-0.2785067681611885,2.878801719796052
58.976,-0.4331669860491729,-0.1995149911228509,-0.2849818275154257,2.874575555328477
58.991,-0.436758804343361,-0.2394545529458634,-0.2915062709433707,2.870251894590036
59.006,-0.4397830398097397,-0.201615697758576,-0.29808033477452,2.8658299950471515
59.026,-0.4432585352240306,-0.1737747707145137,-0.30691075052486,2.859780084194157
59.041,-0.446695877165034,-0.2291561294003281,-0.3135854086177759,2.855126363000589
59.056,-0.4498931221805033,-0.2131496676979494,-0.3203098261128684,2.850372148740109
59.077,-0.4520931990729036,-0.1047655663047676,-0.3297806824860306,2.84354619839982
59.09,-0.4554500214031307,-0.2582171023250623,-0.3356797134191279,2.8392207058264347
59.105,-0.458891605520737,-0.229438941173854,-0.3425372756210547,2.8341340784086357
59.12,-0.4626021332480956,-0.2473685151572293,-0.3494484786618219,2.828944185251514
59.135,-0.464459002198863,-0.12379126338449,-0.3564014371776751,2.823650310882718
59.155,-0.4661288472081999,-0.0834922504668303,-0.3657073156717482,2.816429223354222
59.17,-0.4681086316160012,-0.1319856271867505,-0.3727140967629308,2.810891062760962
59.185,-0.4710560280211915,-0.1964930936793433,-0.3797578317102107,2.805247523297413
59.2,-0.4744945902098649,-0.2292374792448875,-0.3868494613469447,2.7994979685994847
59.219,-0.477742847565354,-0.1709609134468074,-0.3958957170058094,2.792061889405134
59.234,-0.4792509770589674,-0.100541966240893,-0.403073170690493,2.7860696227474113
59.249,-0.4803556592553875,-0.0736454797613315,-0.4102702204628516,2.779969547313761
59.264,-0.4818581966029445,-0.1001691565037968,-0.4174868243817902,2.773761369477426
59.284,-0.4831887400847297,-0.0665271740892724,-0.4271372937486661,2.765315128296123
59.299,-0.4844909992242066,-0.0868172759651235,-0.4343948917934842,2.7588536369045564
59.314,-0.4850022735416246,-0.0340849544945348,-0.441666091339229,2.752283179531061
59.329,-0.4845489699001888,0.0302202427623861,-0.4489377256650437,2.7456036509035284
59.354,-0.4842027847767411,0.0138474049379063,-0.461047122598506,2.7342288403002346
59.363,-0.4839280638401249,0.03052454851292,-0.4654037114172825,2.7300598115471635
59.378,-0.4836108030240602,0.0211507210709756,-0.472660252918765,2.723024331814643
59.393,-0.4824516369847309,0.0772777359552842,-0.479905721218832,2.715880087008611
59.413,-0.4811109131846081,0.0670361900061555,-0.4895413467205247,2.7061856163292193
59.428,-0.4802095098900221,0.060093552972397,-0.4967512498935855,2.698788421854613
59.443,-0.4799087488186693,0.0200507380901855,-0.5039521368339014,2.691283146454157
59.458,-0.4789997299900665,0.0606012552401794,-0.5111439504249672,2.6836699257997148
59.478,-0.477214385376385,0.0892672306840618,-0.5207060915786332,2.673351425379677
59.493,-0.4751323831229985,0.1388001502257617,-0.5278486923423789,2.665487264500269
59.514,-0.4726702303939749,0.1172453680487391,-0.5378006197843075,2.6542979467229384
59.522,-0.469991293634072,0.3348670949880529,-0.5415712658804176,2.649980459180282
59.542,-0.468379850144494,0.0805721744788863,-0.5509549773182048,2.639055196748294
59.558,-0.466734979549404,0.1028044121931361,-0.5584358959557552,2.6301800697621034
59.572,-0.4640555880681649,0.1913851058027517,-0.5649514299290795,2.6223163584809077
59.587,-0.4614306168059112,0.1749980841502396,-0.5718925764656354,2.613790028432947
59.609,-0.4577183811644474,0.1687379837029133,-0.5820032154433087,2.60109717472195
59.621,-0.4537875239211359,0.3275714369426072,-0.5874722508738224,2.594080321924046
59.636,-0.4504081380141702,0.2252923937977072,-0.5942537183383374,2.585217377154955
59.652,-0.4471609126198093,0.2029515871475819,-0.6014342707434085,2.575651873242302
59.671,-0.4432394453046431,0.2063930165877117,-0.6098930741436901,2.5641442634658755
59.686,-0.4405448020323934,0.1796428848166374,-0.6165214559987181,2.5549461544898073
59.701,-0.4372515044494971,0.2195531721930793,-0.6231049282973325,2.5456489566075864
59.716,-0.432893236451898,0.290551199839928,-0.6296310138540933,2.53625343704145
59.736,-0.4284444412040304,0.2224397623934225,-0.6382443906306509,2.5235746829966055
59.751,-0.4238935874180978,0.3033902523955001,-0.6446369258453171,2.5139530731230355
59.765,-0.4191046755650589,0.3420651323598483,-0.6505379136862004,2.504886849246313
59.78,-0.4140260311757817,0.3385762926184663,-0.6567863939867569,2.4950819169387657
59.8,-0.4091617984822964,0.2432116346743158,-0.665018272283336,2.4818638702760674
59.815,-0.4047524819262289,0.2939544370711532,-0.6711226293864001,2.471842813513544
59.83,-0.3997996650502813,0.3301877917298287,-0.6771567704887242,2.4617307180144805
59.845,-0.3937868510016873,0.4008542699062511,-0.6831086693591142,2.4515287272156217
59.865,-0.3881984659611852,0.27941925202506,-0.690928522528744,2.437788355296741
59.88,-0.3833714832874229,0.3217988449174784,-0.6967152971481088,2.427381026649164
59.894,-0.3771666028098366,0.4432057483991526,-0.7020390637507881,2.4175897461228746
59.91,-0.3710515808888566,0.3821888700612929,-0.7080248092203769,2.4063092351391067
59.929,-0.3661263162848165,0.2592244528441403,-0.7150279992435289,2.3927902334586957
59.944,-0.3602185867670577,0.3938486345172353,-0.7204755860164183,2.3820239565692454
59.959,-0.3541608753041974,0.4038474308573435,-0.7258334319819528,2.3711766389342572
59.974,-0.3481187784002539,0.40280646026307,-0.7311005293847339,2.3602496342240116
59.994,-0.3406935906938564,0.3712593853198195,-0.7379886530756761,2.3455587423994055
60.009,-0.3327885367410772,0.5270035968519257,-0.7430397690314383,2.334451029233602
60.024,-0.3259639047829203,0.4549754638771066,-0.7479804123428684,2.323268377873294
60.041,-0.3197958683489759,0.3628256725850567,-0.7534693704144881,2.3105060547198595
60.058,-0.313749826872538,0.3556494986139273,-0.7588545088238721,2.297651301746331
60.073,-0.3084382002008521,0.3541084447790494,-0.7635209190269228,2.28623348603745
60.088,-0.3031373666084835,0.3533889061578898,-0.7681077357779929,2.274746271126413
60.103,-0.2966521902949495,0.4323450875689215,-0.7726061574547687,2.263190916927166
60.123,-0.2900735877643043,0.3289301265323218,-0.7784734152353601,2.247680121200269
60.138,-0.2839753603194292,0.4065484963249908,-0.7827787823459882,2.2359707297184075
60.152,-0.2781582135583686,0.4155104829328138,-0.7867137173631336,2.2249842822204418
60.168,-0.2718914674017245,0.3916716347903013,-0.7911141148108138,2.2123616595630513
60.187,-0.2667976289024825,0.2680967631180261,-0.7962316612257034,2.197281874690706
60.209,-0.262796728758385,0.1818590974589305,-0.8020571991599745,2.1797006972264588
60.217,-0.2576632403423566,0.6416860520038984,-0.8041390390363763,2.173275912273677
60.232,-0.2520391733211244,0.3749378014154653,-0.8079618071388526,2.1611851559273623
60.252,-0.2468928771444911,0.2573148088316254,-0.8129511276435095,2.144976026579536
60.267,-0.2417898660629074,0.3402007387722358,-0.8166162482175652,2.132754271260578
60.282,-0.2367286494983265,0.3374144376388748,-0.8202051370842729,2.120478110870819
60.297,-0.2324470904623652,0.2854372690640745,-0.8237239551339781,2.108148642679182
60.317,-0.2284191130969244,0.2013988682720087,-0.8283326171695717,2.0916280769561437
60.331,-0.2244478379143348,0.283662513042052,-0.8315026858266512,2.080009229835168
60.346,-0.2201610539091785,0.2857856003438821,-0.834837252515326,2.067511680297608
60.361,-0.2159743283758501,0.2791150355552113,-0.8381082678824638,2.054964588894625
60.381,-0.2117944935586564,0.2089917408596548,-0.8423859561018097,2.038159646654779
60.396,-0.2072593267805729,0.3023444518722233,-0.845528859754354,2.025500285535857
60.411,-0.2031848281120893,0.2716332445655582,-0.8486071909160491,2.0127942651558293
60.426,-0.1994934865266984,0.2460894390260555,-0.8516272782758401,2.0000425066368894
60.445,-0.1962408105318065,0.1711934734153766,-0.8553867540978954,1.9838258733293406
60.46,-0.1925228190188121,0.2478661008662803,-0.8583024813195252,1.970973204063709
60.475,-0.1883116495095862,0.2807446339483863,-0.8611587398334883,1.958077244905061
60.49,-0.1840841178228274,0.2818354457839108,-0.8639517080884815,1.9451389165456459
60.51,-0.180203005857388,0.194055598272008,-0.867594579325283,1.9278234536715113
